"HIGH_1"	"HIGH_2"	"HIGH_3"	"HIGH_4"	"LOW_1"	"LOW_2"	"LOW_3"	"LOW_4"
"DDX11L1"	0	0	0	0	0	0	0	0
"WASH7P"	28	19	19	16	25	17	20	14
"MIR6859.1"	1	0	2	0	1	0	0	5
"MIR1302.2HG"	0	1	0	0	0	0	0	0
"MIR1302.2"	0	0	0	0	0	0	0	0
"FAM138A"	0	0	0	0	0	0	0	0
"OR4F5"	0	0	0	0	0	0	0	0
"LOC124903816"	1	0	1	4	12	0	3	1
"LOC124900384"	3	1	6	2	2	8	1	7
"SEPTIN14P18"	1	7	2	0	4	2	2	2
"LOC729737"	4	32	2	6	17	7	2	7
"LOC124903814"	0	0	0	0	0	0	0	0
"DDX11L17"	2	0	1	0	1	0	0	0
"LOC100996442"	16	25	11	36	24	22	27	27
"RPL23AP21"	0	0	0	0	0	0	0	0
"LOC124903815"	0	0	0	1	2	3	2	3
"RPL23AP24"	0	0	0	0	0	0	0	0
"LOC124900618"	0	0	0	0	0	0	0	0
"LOC112268260"	0	0	0	0	0	0	0	0
"WBP1LP7"	0	0	0	0	0	0	0	0
"OR4F29"	0	0	0	0	0	0	0	0
"SEPTIN14P13"	0	0	0	0	0	0	0	0
"LOC100132287"	0	0	0	0	0	0	0	0
"LOC124904706"	0	0	0	0	4	0	0	1
"LOC105378947"	0	0	0	0	1	0	1	0
"LOC101928626"	1	0	0	0	3	0	2	1
"MIR12136"	0	1	0	0	1	0	0	0
"WBP1LP6"	0	0	0	0	0	0	0	0
"OR4F16"	6	9	11	4	25	12	24	11
"SEPTIN14P14"	3	8	7	5	13	12	14	15
"LOC100288069"	36	45	38	24	35	43	49	31
"LINC01409"	72	76	60	47	93	62	47	56
"LOC124903817"	20	11	18	3	23	12	12	9
"FAM87B"	3	6	1	0	0	0	0	0
"LINC00115"	23	25	22	12	47	19	38	38
"LINC01128"	368	218	307	255	403	333	374	305
"LOC107984850"	1	0	0	0	1	0	0	1
"FAM41C"	0	0	0	0	0	0	0	0
"TUBB8P11"	0	0	0	0	0	0	0	0
"LOC284600"	14	16	6	1	2	9	4	8
"LINC02593"	48	21	22	20	5	11	6	15
"LOC107985728"	89	34	51	27	7	20	11	29
"SAMD11"	155	128	78	66	13	20	32	61
"NOC2L"	529	565	487	411	475	396	496	512
"KLHL17"	56	42	34	38	44	48	33	48
"PLEKHN1"	6	15	3	0	2	2	3	1
"PERM1"	1	3	4	0	0	1	1	0
"HES4"	21	33	7	12	3	7	9	7
"RPL39P12"	0	0	0	0	0	0	0	0
"ISG15"	451	131	297	258	118	142	106	162
"AGRN"	903	1276	391	443	285	444	181	258
"LOC100288175"	27	26	12	9	2	2	2	3
"LOC105378948"	1	3	0	2	0	2	1	1
"RNF223"	0	0	0	0	0	0	0	0
"C1orf159"	85	56	44	67	37	55	59	72
"LOC124903819"	9	3	1	1	1	4	10	5
"LOC124903820"	8	13	7	3	4	2	2	5
"LINC01342"	4	4	1	0	1	0	0	1
"LOC124903818"	26	53	13	1	6	25	18	11
"MIR200B"	0	0	0	0	0	0	0	0
"MIR200A"	0	0	0	0	0	0	0	0
"MIR429"	0	0	0	0	0	0	0	0
"TTLL10.AS1"	0	0	0	0	0	0	0	0
"TTLL10"	1	2	0	0	0	1	0	0
"TNFRSF18"	7	4	3	5	0	0	1	2
"TNFRSF4"	10	14	7	6	2	3	3	4
"SDF4"	1670	1178	1206	1193	1040	996	991	1295
"B3GALT6"	196	186	160	157	138	136	109	127
"C1QTNF12"	4	1	5	6	2	2	6	1
"UBE2J2"	391	348	212	336	234	241	200	207
"SCNN1D"	86	38	45	46	86	123	70	87
"ACAP3"	292	202	208	210	219	266	226	263
"MIR6726"	1	0	0	0	0	0	0	0
"SNORD167"	0	0	1	0	1	0	1	1
"PUSL1"	64	86	49	92	53	30	41	40
"INTS11"	642	591	375	487	407	377	366	479
"MIR6727"	0	0	0	0	0	0	0	0
"CPTP"	505	227	242	354	210	233	216	309
"TAS1R3"	11	3	4	2	5	2	18	4
"DVL1"	688	368	406	482	483	542	491	488
"MIR6808"	0	0	0	0	0	0	0	0
"MXRA8"	125	637	40	98	24	36	71	72
"AURKAIP1"	700	397	401	799	394	333	389	439
"CCNL2"	2981	2520	2090	1696	1885	2154	1939	2287
"MRPL20.AS1"	416	231	258	258	284	263	305	281
"MRPL20"	681	573	524	908	504	504	477	579
"MRPL20.DT"	105	63	47	68	67	71	81	86
"ANKRD65"	31	21	7	24	3	10	13	9
"ANKRD65.AS1"	1	6	1	3	1	2	2	4
"TMEM88B"	1	7	1	0	0	0	0	0
"LINC01770"	40	22	10	14	4	11	4	13
"LOC107985729"	2	1	0	2	0	0	0	0
"VWA1"	677	1054	265	534	202	204	274	439
"ATAD3C"	103	6	106	37	11	47	16	57
"ATAD3B"	237	273	119	209	101	105	124	142
"ATAD3A"	110	102	115	70	98	72	78	129
"TMEM240"	3	0	3	0	0	1	0	1
"SSU72"	912	529	577	876	484	539	484	600
"FNDC10"	7	33	3	8	2	3	1	4
"LOC105378586"	0	0	0	0	0	0	1	0
"MIB2"	304	136	268	163	257	262	242	253
"LOC124903821"	37	34	28	18	20	46	21	25
"MMP23B"	2	27	6	8	1	2	4	4
"CDK11B"	201	208	140	139	115	134	135	153
"SLC35E2B"	871	819	550	528	385	593	558	634
"LOC100288379"	0	0	0	0	0	0	0	1
"MMP23A"	0	1	1	0	0	0	0	3
"CDK11A"	119	126	105	115	98	102	101	112
"SLC35E2A"	206	297	154	139	321	276	203	293
"LOC100129381"	1	0	1	0	0	0	0	0
"LOC112268218"	4	4	1	1	0	1	1	2
"NADK"	1375	824	1050	1282	759	845	783	1073
"GNB1"	2962	4345	2018	2599	1363	1735	1561	2139
"GNB1.DT"	8	5	10	8	8	7	16	9
"LOC124903822"	7	4	4	7	10	7	14	8
"CALML6"	16	6	6	0	10	6	8	3
"TMEM52"	42	2	25	47	37	22	30	40
"CFAP74"	0	6	2	6	2	9	3	1
"LOC107984872"	0	0	0	0	0	0	0	0
"LOC105378589"	1	3	0	1	0	0	0	0
"GABRD"	0	39	0	1	0	0	0	0
"LOC105378590"	54	10	43	35	28	39	33	54
"PRKCZ"	352	165	348	214	282	348	282	411
"PRKCZ.DT"	2	0	2	2	2	0	2	1
"PRKCZ.AS1"	0	0	1	1	0	0	0	0
"FAAP20"	162	114	79	148	111	134	103	88
"LOC112268219"	67	27	49	55	51	34	54	52
"LOC105378593"	35	22	31	24	58	60	64	44
"LOC124903823"	4	2	1	3	11	14	3	7
"SKI"	965	1016	513	645	434	652	348	473
"LOC124903824"	0	1	0	0	0	1	0	1
"MORN1"	101	73	110	48	88	86	92	87
